,C,Vavg[1],Tavg[1],Time
0.54,0,33275.05,23.45,8:53:17 PM
0.93,0,33275.6,23.45,8:53:17 PM
1.68,0,33275.6,23.45,8:53:18 PM
2.94,0,33275.5,23.45,8:53:19 PM
4.54,0,33275.5,23.45,8:53:21 PM
4.95,0,33275.9,23.45,8:53:21 PM
5.72,0,33275.9,23.45,8:53:22 PM
6.96,0,33275.5,23.45,8:53:23 PM
8.55,0,33275.5,23.5,8:53:25 PM
8.96,0,33275.5,23.5,8:53:25 PM
9.83,0,33275.5,23.5,8:53:26 PM
10.97,0,33275.5,23.5,8:53:27 PM
12.56,0,33275.5,23.45,8:53:29 PM
12.97,0,33275.95,23.45,8:53:29 PM
13.87,0,33275.95,23.45,8:53:30 PM
14.98,0,33275.95,23.45,8:53:31 PM
16.57,0,33275.95,23.45,8:53:33 PM
16.99,0,33275.8,23.45,8:53:33 PM
17.9,0,33275.8,23.45,8:53:34 PM
18.99,0,33276.15,23.45,8:53:35 PM
20.58,0,33276.15,23.45,8:53:37 PM
21.02,0,33276.05,23.45,8:53:37 PM
22,0,33276.05,23.45,8:53:38 PM
23.03,0,33276.45,23.45,8:53:39 PM
25.05,0,33275.85,23.5,8:53:41 PM
25.08,0,33275.85,23.5,8:53:41 PM
27.05,0,33275.9,23.5,8:53:43 PM
27.09,0,33275.9,23.5,8:53:43 PM
29.06,0,33275.95,23.5,8:53:45 PM
29.1,0,33275.95,23.5,8:53:45 PM
31.07,0,33276.1,23.5,8:53:47 PM
31.12,0,33276.1,23.5,8:53:47 PM
33.08,0,33275.55,23.45,8:53:49 PM
33.13,0,33275.55,23.45,8:53:49 PM
35.09,0,33275.45,23.45,8:53:51 PM
35.16,0,33275.45,23.45,8:53:51 PM
37.09,0,33275.65,23.45,8:53:53 PM
37.17,0,33275.65,23.45,8:53:53 PM
39.1,0,33275.65,23.45,8:53:55 PM
39.17,0,33275.65,23.45,8:53:55 PM
41.11,0,33275.5,23.4,8:53:57 PM
41.18,0,33275.5,23.4,8:53:57 PM
43.12,0,33275.55,23.4,8:53:59 PM
43.19,0,33275.55,23.4,8:53:59 PM
45.14,0,33275.55,23.5,8:54:01 PM
45.2,0,33275.55,23.5,8:54:01 PM
47.14,0,33275.45,23.5,8:54:03 PM
47.2,0,33275.45,23.5,8:54:03 PM
49.15,0,33274.45,23.5,8:54:05 PM
49.21,0,33274.45,23.5,8:54:05 PM
51.16,0,33274.45,23.5,8:54:07 PM
51.22,0,33274.45,23.5,8:54:07 PM
53.17,0,33274.65,23.4,8:54:09 PM
53.23,0,33274.65,23.4,8:54:09 PM
55.18,0,33275.15,23.4,8:54:11 PM
55.26,0,33275.15,23.4,8:54:11 PM
57.18,0,33275.3,23.4,8:54:13 PM
57.27,0,33275.3,23.4,8:54:13 PM
59.19,0,33274.95,23.4,8:54:15 PM
59.28,0,33274.95,23.4,8:54:15 PM
61.2,0,33275.15,23.4,8:54:17 PM
61.29,0,33275.15,23.4,8:54:17 PM
63.2,0,33275.2,23.4,8:54:19 PM
63.3,0,33275.2,23.4,8:54:19 PM
65.21,0,33275.6,23.5,8:54:21 PM
65.31,0,33275.6,23.5,8:54:21 PM
67.24,0,33275,23.5,8:54:23 PM
67.32,0,33275,23.5,8:54:23 PM
69.26,0,33274.9,23.4,8:54:25 PM
69.33,0,33274.9,23.4,8:54:25 PM
71.27,0,33274.85,23.4,8:54:27 PM
71.34,0,33274.85,23.4,8:54:27 PM
73.28,0,33274.95,23.4,8:54:29 PM
73.34,0,33274.95,23.4,8:54:29 PM
75.29,0,33274.95,23.4,8:54:31 PM
75.37,0,33274.95,23.4,8:54:31 PM
77.29,0,33275.15,23.5,8:54:33 PM
77.39,0,33275.15,23.5,8:54:33 PM
79.3,0,33275.55,23.5,8:54:35 PM
79.42,0,33275.55,23.5,8:54:35 PM
81.31,0,33275.1,23.45,8:54:37 PM
81.43,0,33275.1,23.45,8:54:37 PM
83.32,0,33275.1,23.45,8:54:39 PM
83.45,0,33275.1,23.45,8:54:39 PM
85.32,0,33274.65,23.45,8:54:41 PM
85.46,0,33274.65,23.45,8:54:41 PM
87.33,0,33275.05,23.45,8:54:43 PM
87.52,0,33275.05,23.45,8:54:44 PM
89.35,0,33274.75,23.5,8:54:45 PM
89.54,0,33274.75,23.5,8:54:46 PM
91.37,0,33274.75,23.5,8:54:47 PM
91.55,0,33274.75,23.5,8:54:48 PM
93.37,0,33275,23.5,8:54:49 PM
93.56,0,33275,23.5,8:54:50 PM
95.38,0,33274.65,23.5,8:54:51 PM
95.57,0,33274.65,23.5,8:54:52 PM
97.39,0,33275.15,23.45,8:54:53 PM
97.57,0,33275.15,23.45,8:54:54 PM
99.4,0,33275.05,23.45,8:54:55 PM
99.7,0,33275.05,23.45,8:54:56 PM
101.42,0,33275.55,23.45,8:54:57 PM
101.7,0,33275.55,23.45,8:54:58 PM
103.42,0,33275.45,23.45,8:54:59 PM
103.71,0,33275.45,23.45,8:55:00 PM
105.43,0,33275.75,23.5,8:55:01 PM
105.73,0,33275.75,23.5,8:55:02 PM
107.43,0,33275.1,23.5,8:55:03 PM
107.74,0,33275.1,23.5,8:55:04 PM
109.44,0,33275.05,23.45,8:55:05 PM
109.77,0,33275.05,23.45,8:55:06 PM
111.44,0,33274.55,23.45,8:55:07 PM
111.81,0,33274.55,23.45,8:55:08 PM
113.46,0,33275.05,23.45,8:55:09 PM
113.83,0,33275.05,23.45,8:55:10 PM
115.46,0,33273.8,23.45,8:55:11 PM
115.84,0,33273.8,23.45,8:55:12 PM
117.48,0,33274.45,23.45,8:55:13 PM
117.86,0,33274.45,23.45,8:55:14 PM
119.49,0,33274.05,23.45,8:55:15 PM
119.96,0,33274.05,23.45,8:55:16 PM
121.5,0,33275.05,23.45,8:55:17 PM
121.97,0,33275.05,23.45,8:55:18 PM
123.5,0,33274.35,23.45,8:55:19 PM
124.99,0,33274.35,23.4,8:55:21 PM
125.51,0,33274.45,23.4,8:55:22 PM
125.99,0,33274.45,23.4,8:55:22 PM
127.51,0,33274.35,23.4,8:55:24 PM
128.99,0,33274.35,23.4,8:55:25 PM
129.52,0,33274.85,23.4,8:55:26 PM
130.01,0,33274.85,23.4,8:55:26 PM
131.53,0,33274.7,23.4,8:55:28 PM
133,0,33274.7,23.45,8:55:29 PM
133.54,0,33274.9,23.45,8:55:30 PM
134.06,0,33274.9,23.45,8:55:30 PM
135.54,0,33274.8,23.45,8:55:32 PM
137.01,0,33274.8,23.45,8:55:33 PM
137.55,0,33275.25,23.45,8:55:34 PM
138.16,0,33275.25,23.45,8:55:34 PM
139.56,0,33275.35,23.45,8:55:36 PM
141.01,0,33275.35,23.45,8:55:37 PM
141.56,0,33275.4,23.45,8:55:38 PM
142.21,0,33275.4,23.45,8:55:38 PM
143.58,0,33275.5,23.45,8:55:40 PM
145.02,0,33275.5,23.4,8:55:41 PM
145.58,0,33275.15,23.4,8:55:42 PM
146.28,0,33275.15,23.4,8:55:42 PM
147.6,0,33275.2,23.4,8:55:44 PM
149.03,0,33275.2,23.4,8:55:45 PM
149.62,0,33275.2,23.4,8:55:46 PM
150.29,0,33275.2,23.4,8:55:46 PM
151.63,0,33274.5,23.4,8:55:48 PM
153.03,0,33274.5,23.45,8:55:49 PM
153.64,0,33274.6,23.45,8:55:50 PM
154.32,0,33274.6,23.45,8:55:50 PM
155.65,0,33273.95,23.45,8:55:52 PM
157.04,0,33273.95,23.45,8:55:53 PM
157.65,0,33273.5,23.45,8:55:54 PM
158.33,0,33273.5,23.45,8:55:54 PM
159.66,0,33274.4,23.45,8:55:56 PM
161.06,0,33274.4,23.45,8:55:57 PM
161.67,0,33274.25,23.45,8:55:58 PM
162.38,0,33274.25,23.45,8:55:58 PM
163.69,0,33274.45,23.45,8:56:00 PM
165.07,0,33274.45,23.45,8:56:01 PM
165.69,0,33274.3,23.45,8:56:02 PM
166.39,0,33274.3,23.45,8:56:02 PM
167.7,0,33274.45,23.45,8:56:04 PM
169.07,0,33274.45,23.45,8:56:05 PM
169.71,0,33274.4,23.45,8:56:06 PM
170.44,0,33274.4,23.45,8:56:06 PM
171.71,0,33273.65,23.45,8:56:08 PM
173.09,0,33273.65,23.45,8:56:09 PM
173.73,0,33273.65,23.45,8:56:10 PM
174.5,0,33273.65,23.45,8:56:11 PM
175.74,0,33273.9,23.45,8:56:12 PM
177.09,0,33273.9,23.45,8:56:13 PM
177.74,0,33274.85,23.45,8:56:14 PM
178.52,0,33274.85,23.45,8:56:15 PM
179.75,0,33274.8,23.45,8:56:16 PM
181.1,0,33274.8,23.45,8:56:17 PM
181.76,0,33272.7,23.45,8:56:18 PM
182.55,0,33272.7,23.45,8:56:19 PM
183.78,0,33272.7,23.45,8:56:20 PM
185.11,0,33272.7,23.45,8:56:21 PM
185.79,0,33272.85,23.45,8:56:22 PM
186.6,0,33272.85,23.45,8:56:23 PM
187.81,0,33273.8,23.45,8:56:24 PM
189.12,0,33273.8,23.45,8:56:25 PM
189.81,0,33275.1,23.45,8:56:26 PM
190.62,0,33275.1,23.45,8:56:27 PM
191.82,0,33274.95,23.45,8:56:28 PM
193.13,0,33274.95,23.4,8:56:29 PM
193.83,0,33274.75,23.4,8:56:30 PM
194.65,0,33274.75,23.4,8:56:31 PM
195.84,0,33274.7,23.4,8:56:32 PM
197.13,3.84,33274.7,23.55,8:56:33 PM
197.85,0.75,33267.45,23.55,8:56:34 PM
198.77,0,33267.45,23.55,8:56:35 PM
199.86,0,33266.45,23.55,8:56:36 PM
201.15,0,33266.45,23.35,8:56:37 PM
201.88,0,33265.9,23.35,8:56:38 PM
202.79,0,33265.9,23.35,8:56:39 PM
203.89,0,33271.25,23.35,8:56:40 PM
205.15,0,33271.25,23.45,8:56:41 PM
205.9,0,33273.05,23.45,8:56:42 PM
206.81,0,33273.05,23.45,8:56:43 PM
207.92,0,33273.05,23.45,8:56:44 PM
209.16,0,33273.05,23.35,8:56:45 PM
209.93,0,33273.7,23.35,8:56:46 PM
210.83,0,33273.7,23.35,8:56:47 PM
211.93,0,33273.7,23.35,8:56:48 PM
213.17,0,33273.7,23.4,8:56:49 PM
213.94,0,33273.85,23.4,8:56:50 PM
214.85,0,33273.85,23.4,8:56:51 PM
215.95,0,33273.55,23.4,8:56:52 PM
217.18,0,33273.55,23.45,8:56:53 PM
217.96,0,33273.6,23.45,8:56:54 PM
218.87,0,33273.6,23.45,8:56:55 PM
219.97,0,33273.5,23.45,8:56:56 PM
221.18,0,33273.5,23.45,8:56:57 PM
221.98,0,33272.8,23.45,8:56:58 PM
222.89,0,33272.8,23.45,8:56:59 PM
223.99,0,33273,23.45,8:57:00 PM
225.19,0,33273,23.4,8:57:01 PM
225.99,0,33272.25,23.4,8:57:02 PM
226.9,0,33272.25,23.4,8:57:03 PM
228,0,33272.4,23.4,8:57:04 PM
229.2,0,33272.4,23.4,8:57:05 PM
230.01,0,33272.95,23.4,8:57:06 PM
230.93,0,33272.95,23.4,8:57:07 PM
232.01,0,33273.65,23.4,8:57:08 PM
233.21,0,33273.65,23.45,8:57:09 PM
234.02,0,33273.35,23.45,8:57:10 PM
234.94,0,33273.35,23.45,8:57:11 PM
236.02,0,33273.1,23.45,8:57:12 PM
237.21,0,33273.1,23.45,8:57:13 PM
238.03,0,33273.4,23.45,8:57:14 PM
238.96,0,33273.4,23.45,8:57:15 PM
240.04,0,33273.25,23.45,8:57:16 PM
241.22,0,33273.25,23.45,8:57:17 PM
242.05,0,33273.3,23.45,8:57:18 PM
242.98,0,33273.3,23.45,8:57:19 PM
244.05,0,33272.8,23.45,8:57:20 PM
245.23,0,33272.8,23.4,8:57:21 PM
246.06,0,33272.9,23.4,8:57:22 PM
247,0,33272.9,23.4,8:57:23 PM
248.06,0,33273.5,23.4,8:57:24 PM
249.25,0,33273.5,23.4,8:57:25 PM
250.09,0,33274.2,23.4,8:57:26 PM
251.01,0,33274.2,23.4,8:57:27 PM
252.09,0,33274.3,23.4,8:57:28 PM
253.26,0,33274.3,23.45,8:57:29 PM
254.1,0,33274.05,23.45,8:57:30 PM
255.03,0,33274.05,23.45,8:57:31 PM
256.11,0,33273.6,23.45,8:57:32 PM
257.27,0,33273.6,23.45,8:57:33 PM
